Bile_acid,Nonhydroxy_36.02,Nonhydroxy_64.07,Nonhydroxy_78.05,Nonhydroxy_80.06,Nonhydroxy_95.98,Nonhydroxy_96.06,Dihydroxy_39.01,Dihydroxy_41.06,Dihydroxy_50.05,Dihydroxy_62.05,Dihydroxy_64.03,Dihydroxy_69.02,Dihydroxy_70.98,Dihydroxy_71.04,Dihydroxy_73.04,Dihydroxy_74.05,Dihydroxy_85.05,Dihydroxy_86.97,Dihydroxy_87.03,Dihydroxy_87.04,Dihydroxy_88.99,Dihydroxy_99.02,Dihydroxy_99.07,Dihydroxy_101.05,Dihydroxy_103.08,Dihydroxy_104.99,Dihydroxy_110.05,Dihydroxy_111.03,Dihydroxy_113.08,Dihydroxy_113.09,Dihydroxy_114.04,Dihydroxy_114.08,Dihydroxy_123,Dihydroxy_128.06,Dihydroxy_128.09,Dihydroxy_128.1,Dihydroxy_129.04,Dihydroxy_131.04,Dihydroxy_131.07,Dihydroxy_147.04,Dihydroxy_147.07,Dihydroxy_157.09,Dihydroxy_163.06,Dihydroxy_163.07,Dihydroxy_175.13,Dihydroxy_186.08,Dihydroxy_356.27,Trihydroxy_39.01,Trihydroxy_41.03,Trihydroxy_52.97,Trihydroxy_53.01,Trihydroxy_53.03,Trihydroxy_54.05,Trihydroxy_56.93,Trihydroxy_60.04,Trihydroxy_70.98,Trihydroxy_70.99,Trihydroxy_71.04,Trihydroxy_73.03,Trihydroxy_73.04,Trihydroxy_74,Trihydroxy_74.05,Trihydroxy_85.05,Trihydroxy_87.04,Trihydroxy_88.99,Trihydroxy_89,Trihydroxy_89.03,Trihydroxy_101.05,Trihydroxy_103.01,Trihydroxy_104.99,Trihydroxy_113.08,Trihydroxy_113.09,Trihydroxy_114.04,Trihydroxy_114.08,Trihydroxy_124.03,Trihydroxy_126.11,Trihydroxy_128.06,Trihydroxy_128.09,Trihydroxy_128.1,Trihydroxy_128.96,Trihydroxy_128.99,Trihydroxy_129.03,Trihydroxy_129.04,Trihydroxy_129.05,Trihydroxy_137.01,Trihydroxy_137.06,Trihydroxy_147.04,Trihydroxy_147.07,Trihydroxy_163.06,Trihydroxy_172.05,Trihydroxy_186.07,Trihydroxy_186.08,Trihydroxy_372.26,Trihydroxy_372.27,Trihydroxy_389.29,Trihydroxy_391.31,Trihydroxy_407.3,Trihydroxy_407.32,Tetrahydroxy_55.02,Tetrahydroxy_88.99,Tetrahydroxy_106.01,Tetrahydroxy_372.27,Tetrahydroxy_388.26,Tetrahydroxy_405.29,Tetrahydroxy_495.27,NCBI,no rank,class,phylum,subphylum,superkingdom,family,genus,order,suborder,clade,species group,species subgroup,species,subclass,kingdom,subkingdom,subgenus,section,infraorder,parvorder,subfamily,superclass,superfamily,superorder,subspecies,strain
Salinispora,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,168694,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Micromonosporaceae,N/A,Micromonosporales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Salinispora sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1979206,unclassified Salinispora,Actinomycetia,Actinobacteria,N/A,Bacteria,Micromonosporaceae,Salinispora,Micromonosporales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1883,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,N/A,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces albogriseolus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1887,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,Streptomyces albogriseolus group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces albus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1888,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces albus J1074,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457425,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,Streptomyces albus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces atrovirens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,285556,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces cattleya NRRL 8057 = DSM 46488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1003195,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,Streptomyces cattleya,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces clavuligerus,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1901,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces coelicolor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1902,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,Streptomyces albidoflavus group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces griseoflavus Tu4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467200,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,Streptomyces griseoflavus,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces griseorubens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66897,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,Streptomyces althioticus group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces jumonjinensis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces katsurahamanus,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2577098,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces labedae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285569,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces nanshensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518642,cellular organisms,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1931,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. BK022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512123,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. BK038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2512156,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. CNH099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137269,Streptomycetaceae incertae sedis,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,N/A,Streptomycetales,N/A,MAR4 Clade,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690252,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690248,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID1046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690249,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID1328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690250,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690251,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690253,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID2131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690254,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690255,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID2888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690256,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690257,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID2999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690258,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID3343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690260,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690261,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Streptomyces sp. SID337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2690262,unclassified Streptomyces,Actinomycetia,Actinobacteria,N/A,Bacteria,Streptomycetaceae,Streptomyces,Streptomycetales,N/A,Terrabacteria group,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
