Bile,delta,count
Dihydroxy,297.27,32
Trihydroxy,880.44,32
Monohydroxy,161.87,32
Trihydroxy,18.08,32
Dihydroxy,97.05,32
Tetrahydroxy,586.28,32
Trihydroxy,20.02,32
Trihydroxy,51.98,32
Trihydroxy,73.98,32
Monohydroxy,10.02,31
Trihydroxy,76,31
Trihydroxy,147.03,31
Tetrahydroxy,69.99,31
Trihydroxy,118.96,31
Pentahydroxy,282.23,31
Trihydroxy,281.27,31
Dihydroxy,514.29,31
Trihydroxy,95.08,31
Dihydroxy,18.98,31
Tetrahydroxy,36.17,31
Trihydroxy,11.02,31
Dihydroxy,86.05,31
Trihydroxy,833.28,31
Dihydroxy,85.05,31
Trihydroxy,84.07,31
Tetrahydroxy,13.03,31
Dihydroxy,0.99,31
Dihydroxy,509.31,30
Dihydroxy,21.02,30
Trihydroxy,177.13,30
Trihydroxy,22.04,30
Dihydroxy,233.09,30
Trihydroxy,612.93,30
Trihydroxy,472.25,30
Dihydroxy,265.06,30
Monohydroxy,206.2,30
Tetrahydroxy,372.26,30
Dihydroxy,10.13,30
Pentahydroxy,150.02,30
Dihydroxy,56.07,30
Trihydroxy,499.14,30
Tetrahydroxy,150.98,30
Monohydroxy,220.22,30
Trihydroxy,13.04,30
Dihydroxy,17.02,30
Trihydroxy,47.02,29
Nonhydroxy,18.08,29
Trihydroxy,188.99,29
Dihydroxy,279.26,29
Trihydroxy,75.99,29
Pentahydroxy,91.08,29
Tetrahydroxy,408.28,29
Trihydroxy,36.1,29
Trihydroxy,129.05,29
Dihydroxy,13.03,29
Trihydroxy,42.03,29
Pentahydroxy,586.28,29
Trihydroxy,48.49,29
Trihydroxy,111.03,29
Trihydroxy,20.96,29
Trihydroxy,124.98,29
Dihydroxy,223.11,29
Tetrahydroxy,184.04,29
Dihydroxy,129.05,29
Tetrahydroxy,166.21,29
Trihydroxy,338.26,29
Trihydroxy,311.19,29
Trihydroxy,630.81,29
Trihydroxy,20,29
Tetrahydroxy,424.29,29
Trihydroxy,73.08,29
Trihydroxy,296.04,29
Tetrahydroxy,19.97,29
Trihydroxy,54.96,29
Dihydroxy,73.02,29
Dihydroxy,117.9,29
Dihydroxy,18.03,29
Tetrahydroxy,96,29
Tetrahydroxy,9.98,29
Tetrahydroxy,204.1,28
Trihydroxy,1.97,28
Trihydroxy,74.11,28
Monohydroxy,80.06,28
Dihydroxy,420.32,28
Dihydroxy,53.63,28
Trihydroxy,168.99,28
Tetrahydroxy,105.03,28
Monohydroxy,17.02,28
Trihydroxy,168.07,28
Pentahydroxy,107.08,28
Trihydroxy,18.18,28
Trihydroxy,54.06,28
Trihydroxy,390.29,28
Trihydroxy,35,28
Trihydroxy,72.22,28
Pentahydroxy,2.99,28
Trihydroxy,24.04,28
Tetrahydroxy,80.03,28
Dihydroxy,118.96,28
Monohydroxy,203.99,28
Dihydroxy,280.24,28
Trihydroxy,505.12,28
Tetrahydroxy,54.19,27
Tetrahydroxy,89.05,27
Trihydroxy,61.94,27
Trihydroxy,507.13,27
Dihydroxy,55.48,27
Pentahydroxy,0.99,27
Trihydroxy,59.02,27
Trihydroxy,45.06,27
Pentahydroxy,89.11,27
Trihydroxy,24,27
Trihydroxy,60.5,27
Nonhydroxy,324.09,27
Trihydroxy,392.14,27
Dihydroxy,236.06,27
Pentahydroxy,34.97,27
Dihydroxy,18.05,27
Pentahydroxy,108.11,27
Trihydroxy,231.11,26
Trihydroxy,277.24,26
Pentahydroxy,56.05,26
Dihydroxy,111.03,26
Dihydroxy,255.26,26
Dihydroxy,18.97,26
Dihydroxy,54.96,26
Tetrahydroxy,54.11,26
Tetrahydroxy,27.05,26
Tetrahydroxy,39.96,26
Trihydroxy,18.12,26
Trihydroxy,187.96,26
Trihydroxy,20.99,26
Trihydroxy,633.79,26
Dihydroxy,19.02,26
Trihydroxy,282.26,26
Dihydroxy,408.29,26
Trihydroxy,56.07,26
Nonhydroxy,0,26
Pentahydroxy,324.29,26
Dihydroxy,57.03,26
Tetrahydroxy,36.04,26
Dihydroxy,34.02,26
Pentahydroxy,73.07,26
Pentahydroxy,63.06,25
Trihydroxy,73.97,25
Trihydroxy,90.96,25
Tetrahydroxy,88,25
Tetrahydroxy,15.01,25
Trihydroxy,164.07,25
Trihydroxy,505.11,25
Trihydroxy,156.09,25
Trihydroxy,130.11,25
Tetrahydroxy,42.03,25
Trihydroxy,196.05,25
Trihydroxy,286.08,25
Dihydroxy,336.28,25
Trihydroxy,482.57,25
Dihydroxy,129.03,25
Trihydroxy,510.62,25
Trihydroxy,169.16,25
Trihydroxy,58.04,25
Trihydroxy,203.08,25
Trihydroxy,51.99,25
Trihydroxy,25.03,25
Nonhydroxy,17.01,25
Trihydroxy,365.15,25
Trihydroxy,206.93,25
Dihydroxy,514.3,25
Dihydroxy,40.01,25
Tetrahydroxy,459.24,24
Tetrahydroxy,52.08,24
Pentahydroxy,21.95,24
Trihydroxy,187.98,24
Trihydroxy,53.98,24
Dihydroxy,267.08,24
Dihydroxy,161.05,24
Trihydroxy,87.04,24
Dihydroxy,643.47,24
Tetrahydroxy,100.08,24
Dihydroxy,38.94,24
Trihydroxy,96.02,24
Trihydroxy,76.03,24
Pentahydroxy,57.05,24
Trihydroxy,12.05,24
Monohydroxy,246.99,24
Trihydroxy,392.13,24
Trihydroxy,579.25,24
Trihydroxy,73.11,24
Tetrahydroxy,214.01,24
Trihydroxy,186.09,24
Dihydroxy,69.91,24
Dihydroxy,390.27,24
Dihydroxy,301.24,24
Trihydroxy,53.43,24
Trihydroxy,0.01,24
Dihydroxy,152.06,24
Tetrahydroxy,55.09,24
Trihydroxy,478.66,24
Tetrahydroxy,388.27,24
Trihydroxy,116.97,24
Dihydroxy,606.31,24
Trihydroxy,87.01,24
Dihydroxy,19.97,23
Trihydroxy,55.04,23
Trihydroxy,69.68,23
Trihydroxy,351.13,23
Trihydroxy,65.01,23
Dihydroxy,90.04,23
Trihydroxy,163.04,23
Dihydroxy,55.06,23
Tetrahydroxy,198.15,23
Dihydroxy,122.02,23
Pentahydroxy,55.09,23
Dihydroxy,28.05,23
Trihydroxy,427.27,23
Trihydroxy,405.13,23
Trihydroxy,816.27,23
Trihydroxy,491.3,23
Trihydroxy,107.51,23
Trihydroxy,35.2,23
Monohydroxy,220.21,23
Trihydroxy,125.98,23
Tetrahydroxy,123.87,23
Trihydroxy,110.04,23
Trihydroxy,36.21,23
Trihydroxy,493.61,23
Trihydroxy,370.25,23
Trihydroxy,35.83,22
Dihydroxy,39.02,22
Trihydroxy,606.31,22
Dihydroxy,37.98,22
Pentahydroxy,108.07,22
Trihydroxy,237.99,22
Tetrahydroxy,72.99,22
Dihydroxy,53.94,22
Trihydroxy,186.07,22
Trihydroxy,407.3,22
Trihydroxy,404.62,22
Tetrahydroxy,71.04,22
Dihydroxy,477.26,22
Trihydroxy,17.8,22
Trihydroxy,147.04,22
Trihydroxy,18.19,22
Tetrahydroxy,52.98,22
Trihydroxy,70.01,22
Monohydroxy,107.01,22
Tetrahydroxy,465.56,22
Trihydroxy,18.22,22
Dihydroxy,36.04,22
Trihydroxy,18.09,22
Trihydroxy,169.56,22
Monohydroxy,56.97,22
Trihydroxy,509.32,22
Trihydroxy,123.05,22
Trihydroxy,188.16,22
Trihydroxy,656.35,21
Nonhydroxy,35.04,21
Dihydroxy,643.48,21
Trihydroxy,133.46,21
Trihydroxy,54.15,21
Tetrahydroxy,90.03,21
Trihydroxy,86.99,21
Trihydroxy,137.02,21
Tetrahydroxy,0.02,21
Dihydroxy,95.02,21
Trihydroxy,435.75,21
Trihydroxy,782.22,21
Trihydroxy,117.05,21
Trihydroxy,3.88,21
Dihydroxy,22.03,21
Monohydroxy,200.62,21
Dihydroxy,53.01,21
Dihydroxy,210.81,21
Nonhydroxy,159.39,21
Trihydroxy,52.08,21
Trihydroxy,152.03,21
Trihydroxy,88.98,21
Trihydroxy,62.05,21
Tetrahydroxy,811.56,21
Monohydroxy,91.04,21
Dihydroxy,391.28,21
Monohydroxy,18.03,21
Tetrahydroxy,172.16,21
Trihydroxy,232.15,21
Dihydroxy,214.11,21
Trihydroxy,376.14,21
Pentahydroxy,61.97,21
Trihydroxy,166.03,21
Dihydroxy,1.01,21
Tetrahydroxy,186.96,21
Trihydroxy,485.59,21
Tetrahydroxy,194.13,21
Trihydroxy,409.79,21
Trihydroxy,502.11,21
Trihydroxy,48.98,20
Trihydroxy,496.07,20
Trihydroxy,230.15,20
Pentahydroxy,168.95,20
Monohydroxy,24,20
Monohydroxy,45.02,20
Trihydroxy,639.31,20
Trihydroxy,71.96,20
Trihydroxy,68.96,20
Dihydroxy,507.3,20
Pentahydroxy,55.08,20
Dihydroxy,18.08,20
Pentahydroxy,2.05,20
Trihydroxy,106.03,20
Trihydroxy,169.87,20
Tetrahydroxy,312.18,20
Dihydroxy,124.64,20
Trihydroxy,185.97,20
Pentahydroxy,45.03,20
Dihydroxy,38.96,20
Dihydroxy,106.95,20
Monohydroxy,95.07,20
Dihydroxy,23.01,20
Pentahydroxy,28.07,20
Trihydroxy,39.99,20
Trihydroxy,517.42,20
Trihydroxy,81.06,20
Tetrahydroxy,92.09,20
Pentahydroxy,62.07,20
Trihydroxy,453.73,20
Trihydroxy,240.07,20
Pentahydroxy,91.62,20
Pentahydroxy,106.02,20
Tetrahydroxy,369.17,20
Trihydroxy,1020.72,20
Trihydroxy,202.13,20
Trihydroxy,456.33,20
Dihydroxy,204.98,20
Dihydroxy,252.08,20
Trihydroxy,14.03,20
Trihydroxy,81,20
Trihydroxy,305.27,20
Trihydroxy,18,19
Dihydroxy,444.36,19
Trihydroxy,246.01,19
Trihydroxy,204.15,19
Tetrahydroxy,762.18,19
Trihydroxy,229.08,19
Dihydroxy,283.29,19
Trihydroxy,44.04,19
Pentahydroxy,38.04,19
Trihydroxy,53.05,19
Trihydroxy,236.09,19
Trihydroxy,4.98,19
Nonhydroxy,18.06,19
Dihydroxy,8.01,19
Trihydroxy,496.08,19
Dihydroxy,115.1,19
Trihydroxy,128.96,19
Monohydroxy,105.04,19
Trihydroxy,432.33,19
Pentahydroxy,89.03,19
Dihydroxy,35.12,19
Trihydroxy,73.01,19
Trihydroxy,143.14,19
Dihydroxy,472.33,19
Trihydroxy,501.6,19
Tetrahydroxy,17.99,19
Dihydroxy,7.95,19
Trihydroxy,37,19
Trihydroxy,399.1,19
Dihydroxy,491.31,19
Trihydroxy,111.04,19
Trihydroxy,268.85,19
Dihydroxy,18.02,19
Pentahydroxy,35.01,19
Trihydroxy,202.01,19
Trihydroxy,69.95,19
Dihydroxy,111.04,19
Tetrahydroxy,22.06,19
Dihydroxy,137.01,19
Tetrahydroxy,373.12,19
Trihydroxy,186.01,19
Dihydroxy,174.13,19
Pentahydroxy,225.19,18
Trihydroxy,622.31,18
Dihydroxy,188.1,18
Tetrahydroxy,106.03,18
Dihydroxy,58.05,18
Monohydroxy,114.99,18
Trihydroxy,100.96,18
Trihydroxy,90.02,18
Trihydroxy,308.65,18
Dihydroxy,135.04,18
Tetrahydroxy,44.05,18
Trihydroxy,123.99,18
Pentahydroxy,154.12,18
Pentahydroxy,0,18
Trihydroxy,79.01,18
Dihydroxy,477.25,18
Trihydroxy,38.01,18
Pentahydroxy,216.15,18
Pentahydroxy,46.09,18
Dihydroxy,53.97,18
Tetrahydroxy,168.03,18
Dihydroxy,4.19,18
Tetrahydroxy,502.31,18
Dihydroxy,416.32,18
Pentahydroxy,150.03,18
Pentahydroxy,329.28,18
Tetrahydroxy,91.08,18
Trihydroxy,37.96,18
Trihydroxy,38.11,18
Monohydroxy,23.01,18
Trihydroxy,129.03,18
Tetrahydroxy,113.02,18
Monohydroxy,18.08,18
Trihydroxy,482.56,18
Trihydroxy,88.94,18
Trihydroxy,87.07,18
Trihydroxy,238,18
Dihydroxy,784.59,18
Monohydroxy,752.6,18
Tetrahydroxy,69.02,18
Dihydroxy,21.01,18
Trihydroxy,153.01,18
Monohydroxy,114.05,18
Trihydroxy,69.02,18
Trihydroxy,470.65,18
Trihydroxy,53.5,18
Trihydroxy,124.06,18
Nonhydroxy,53.05,18
Trihydroxy,568.2,18
Trihydroxy,539.35,18
Trihydroxy,70.97,18
Tetrahydroxy,18.09,17
Trihydroxy,143.13,17
Dihydroxy,16.97,17
Tetrahydroxy,90.11,17
Dihydroxy,262.17,17
Nonhydroxy,19.05,17
Trihydroxy,518.63,17
Trihydroxy,16.97,17
Trihydroxy,72.93,17
Trihydroxy,124,17
Pentahydroxy,20.04,17
Trihydroxy,238.1,17
Pentahydroxy,64,17
Dihydroxy,93.02,17
Trihydroxy,18.11,17
Dihydroxy,36.1,17
Trihydroxy,256.17,17
Tetrahydroxy,15.02,17
Trihydroxy,112.07,17
Trihydroxy,248.02,17
Trihydroxy,135.04,17
Tetrahydroxy,166.93,17
Trihydroxy,453.64,17
Trihydroxy,15.99,17
Trihydroxy,120.99,17
Pentahydroxy,108.04,17
Monohydroxy,9.99,17
Trihydroxy,356.28,17
Trihydroxy,152.07,17
Trihydroxy,36.01,17
Monohydroxy,104.99,17
Trihydroxy,87.05,17
Tetrahydroxy,21.98,17
Monohydroxy,233.06,17
Trihydroxy,314.18,17
Nonhydroxy,19.03,17
Trihydroxy,28.14,17
Dihydroxy,281.28,17
Trihydroxy,53.95,17
Trihydroxy,202.14,17
Tetrahydroxy,41.09,17
Trihydroxy,83.04,17
Monohydroxy,64.03,17
Monohydroxy,143.4,17
Dihydroxy,118.09,17
Trihydroxy,719.28,17
Monohydroxy,19.01,17
Dihydroxy,288.22,17
Dihydroxy,17.05,17
Dihydroxy,161.06,17
Dihydroxy,9.99,17
Trihydroxy,177.06,16
Dihydroxy,41.06,16
Trihydroxy,472.32,16
Nonhydroxy,100.05,16
Trihydroxy,56.9,16
Tetrahydroxy,104.01,16
Trihydroxy,511.13,16
Nonhydroxy,144.03,16
Pentahydroxy,90.14,16
Trihydroxy,799.25,16
Dihydroxy,155.02,16
Trihydroxy,1.98,16
Trihydroxy,494.11,16
Pentahydroxy,26.99,16
Tetrahydroxy,794.53,16
Trihydroxy,122.97,16
Tetrahydroxy,166.97,16
Trihydroxy,72.03,16
Trihydroxy,189,16
Trihydroxy,504.07,16
Trihydroxy,150.06,16
Pentahydroxy,87.5,16
Nonhydroxy,375.32,16
Tetrahydroxy,20.02,16
Dihydroxy,17,16
Trihydroxy,89.99,16
Trihydroxy,591.36,16
Pentahydroxy,27.98,16
Trihydroxy,42.02,16
Trihydroxy,72.23,16
Tetrahydroxy,72.08,16
Dihydroxy,16.99,16
Trihydroxy,38.92,16
Trihydroxy,73.15,16
Dihydroxy,68.96,16
Trihydroxy,84.1,16
Dihydroxy,124.06,16
Pentahydroxy,90.06,16
Trihydroxy,432.32,16
Tetrahydroxy,17.96,16
Tetrahydroxy,230.17,16
Trihydroxy,897.47,16
Trihydroxy,3.03,16
Trihydroxy,196.11,16
Trihydroxy,2.96,16
Dihydroxy,67.04,16
Trihydroxy,144.04,16
Dihydroxy,6.01,16
Trihydroxy,391.61,16
Trihydroxy,38.96,16
Trihydroxy,138.05,16
Dihydroxy,212.03,16
Dihydroxy,9.98,16
Trihydroxy,261.25,16
Monohydroxy,646.36,15
Dihydroxy,218.19,15
Trihydroxy,35.96,15
Tetrahydroxy,59.04,15
Trihydroxy,297.08,15
Trihydroxy,474.33,15
Monohydroxy,0.99,15
Trihydroxy,215.05,15
Trihydroxy,406.31,15
Monohydroxy,133.07,15
Trihydroxy,355.26,15
Trihydroxy,391.32,15
Monohydroxy,144.03,15
Trihydroxy,329.24,15
Tetrahydroxy,466.07,15
Trihydroxy,2,15
Trihydroxy,436.1,15
Trihydroxy,14.01,15
Trihydroxy,91.01,15
Trihydroxy,880.94,15
Trihydroxy,275.14,15
Trihydroxy,488.24,15
Tetrahydroxy,495.27,15
Dihydroxy,107.03,15
Dihydroxy,53.62,15
Trihydroxy,384.12,15
Dihydroxy,103.99,15
Trihydroxy,11.98,15
Trihydroxy,92.04,15
Trihydroxy,3.01,15
Tetrahydroxy,150.03,15
Tetrahydroxy,111.03,15
Tetrahydroxy,3.97,15
Dihydroxy,87.02,15
Trihydroxy,23,15
Dihydroxy,300.06,15
Tetrahydroxy,58.03,15
Trihydroxy,51.92,15
Dihydroxy,20.98,15
Trihydroxy,392.64,15
Trihydroxy,86.97,15
Trihydroxy,52.99,15
Trihydroxy,89.02,15
Pentahydroxy,107.02,15
Dihydroxy,197.03,15
Trihydroxy,261.11,15
Monohydroxy,339.27,15
Trihydroxy,484.6,15
Tetrahydroxy,57.03,15
Trihydroxy,474.34,15
Trihydroxy,817.58,15
Trihydroxy,71.14,15
Trihydroxy,17.19,15
Monohydroxy,752.59,15
Monohydroxy,306.08,15
Trihydroxy,72.18,15
Trihydroxy,684.24,15
Monohydroxy,392.08,15
Dihydroxy,86.97,15
Monohydroxy,8.03,15
Dihydroxy,298.2,15
Trihydroxy,60.01,14
Dihydroxy,515.3,14
Trihydroxy,0.04,14
Dihydroxy,186.11,14
Trihydroxy,27.98,14
Tetrahydroxy,182.02,14
Trihydroxy,48.48,14
Tetrahydroxy,96.98,14
Trihydroxy,2.09,14
Nonhydroxy,50.04,14
Trihydroxy,293.09,14
Trihydroxy,502.12,14
Monohydroxy,87.03,14
Dihydroxy,513.27,14
Trihydroxy,164.1,14
Trihydroxy,30.03,14
Tetrahydroxy,59.02,14
Trihydroxy,107.02,14
Trihydroxy,1.05,14
Tetrahydroxy,187.99,14
Dihydroxy,164.06,14
Dihydroxy,375.31,14
Tetrahydroxy,279.22,14
Trihydroxy,132.05,14
Trihydroxy,200.12,14
Tetrahydroxy,150.97,14
Trihydroxy,260.18,14
Dihydroxy,96.03,14
Trihydroxy,111.01,14
Trihydroxy,21.04,14
Tetrahydroxy,18.23,14
Trihydroxy,103.17,14
Trihydroxy,196.6,14
Trihydroxy,69.99,14
Dihydroxy,572.31,14
Monohydroxy,98.96,14
Tetrahydroxy,779.21,14
Dihydroxy,16.05,14
Monohydroxy,54.03,14
Trihydroxy,26.03,14
Dihydroxy,390.31,14
Trihydroxy,111.15,14
Dihydroxy,56.1,14
Pentahydroxy,74.04,14
Trihydroxy,363.07,14
Trihydroxy,3.98,14
Trihydroxy,54.12,14
Trihydroxy,633.29,14
Trihydroxy,112.1,14
Pentahydroxy,323.3,14
Dihydroxy,159.99,14
Pentahydroxy,29.01,14
Pentahydroxy,109.04,14
Dihydroxy,124.05,14
Trihydroxy,13.01,14
Dihydroxy,115.03,14
Trihydroxy,90.64,14
Dihydroxy,25.16,14
Trihydroxy,90.95,14
Dihydroxy,55,14
Trihydroxy,17.08,14
Dihydroxy,89.04,14
Tetrahydroxy,106.04,14
Monohydroxy,162,14
Trihydroxy,102.08,14
Trihydroxy,10.04,14
Tetrahydroxy,298.12,14
Monohydroxy,56.03,14
Tetrahydroxy,56.01,14
Tetrahydroxy,8.02,14
Trihydroxy,445.1,14
Trihydroxy,223.13,14
Trihydroxy,350.25,14
Trihydroxy,54.08,14
Trihydroxy,7.95,14
Tetrahydroxy,604.29,14
Dihydroxy,81.06,14
Trihydroxy,138.48,14
Tetrahydroxy,90.14,13
Dihydroxy,303.24,13
Tetrahydroxy,484.32,13
Trihydroxy,280.06,13
Monohydroxy,16.6,13
Trihydroxy,248.15,13
Trihydroxy,185.14,13
Trihydroxy,218.15,13
Trihydroxy,69.06,13
Dihydroxy,24.04,13
Dihydroxy,53.05,13
Dihydroxy,2.01,13
Trihydroxy,157.08,13
Dihydroxy,10.02,13
Trihydroxy,224.97,13
Trihydroxy,391.11,13
Trihydroxy,36.07,13
Monohydroxy,89.01,13
Nonhydroxy,60.02,13
Tetrahydroxy,3.98,13
Trihydroxy,206.91,13
Trihydroxy,570.3,13
Trihydroxy,179.06,13
Trihydroxy,144.95,13
Trihydroxy,50.95,13
Trihydroxy,16,13
Trihydroxy,536.16,13
Trihydroxy,497.28,13
Trihydroxy,624.3,13
Monohydroxy,0.02,13
Nonhydroxy,72.04,13
Tetrahydroxy,188.16,13
Dihydroxy,88.94,13
Dihydroxy,46.06,13
Trihydroxy,93.48,13
Trihydroxy,1021.22,13
Trihydroxy,109,13
Monohydroxy,19.05,13
Trihydroxy,92.02,13
Dihydroxy,8.02,13
Trihydroxy,39.05,13
Dihydroxy,83.04,13
Monohydroxy,38.96,13
Trihydroxy,89.01,13
Trihydroxy,298.19,13
Dihydroxy,19.84,13
Pentahydroxy,125.13,13
Trihydroxy,57.98,13
Dihydroxy,90.01,13
Trihydroxy,126.48,13
Trihydroxy,188.98,13
Trihydroxy,507.14,13
Trihydroxy,17.95,13
Trihydroxy,187.97,13
Monohydroxy,178.92,13
Trihydroxy,204.09,13
Tetrahydroxy,63.97,13
Dihydroxy,59.03,13
Trihydroxy,116.1,13
Dihydroxy,36.98,13
Monohydroxy,8,13
Tetrahydroxy,41.07,13
Trihydroxy,987.64,13
Dihydroxy,111.01,13
Dihydroxy,70.09,13
Tetrahydroxy,22.48,13
Trihydroxy,300.06,13
Monohydroxy,136.98,13
Dihydroxy,69.02,13
Trihydroxy,52.04,13
Tetrahydroxy,72.13,13
Trihydroxy,161.05,13
Trihydroxy,515.3,13
Tetrahydroxy,243.15,13
Trihydroxy,115.65,12
Dihydroxy,36,12
Tetrahydroxy,118.96,12
Dihydroxy,472.31,12
Dihydroxy,69,12
Trihydroxy,115.95,12
Dihydroxy,54.1,12
Trihydroxy,505.1,12
Dihydroxy,95.98,12
Pentahydroxy,20.03,12
Tetrahydroxy,150.08,12
Tetrahydroxy,152.01,12
Trihydroxy,73.02,12
Tetrahydroxy,45.06,12
Trihydroxy,155.03,12
Dihydroxy,407.3,12
Trihydroxy,42.05,12
Nonhydroxy,341.08,12
Dihydroxy,4.94,12
Trihydroxy,56.22,12
Trihydroxy,435.59,12
Trihydroxy,1.99,12
Trihydroxy,175.03,12
Monohydroxy,127.06,12
Pentahydroxy,75.09,12
Tetrahydroxy,108.03,12
Trihydroxy,221.1,12
Tetrahydroxy,129.06,12
Dihydroxy,129.02,12
Tetrahydroxy,449.17,12
Trihydroxy,612.44,12
Dihydroxy,20.02,12
Trihydroxy,70,12
Dihydroxy,79.01,12
Tetrahydroxy,39.02,12
Trihydroxy,164.93,12
Trihydroxy,6.02,12
Dihydroxy,205.15,12
Trihydroxy,94.04,12
Trihydroxy,391.74,12
Dihydroxy,39.96,12
Trihydroxy,118.1,12
Trihydroxy,634.29,12
Trihydroxy,150.04,12
Dihydroxy,48.07,12
Tetrahydroxy,9.99,12
Monohydroxy,64.07,12
Trihydroxy,77.07,12
Monohydroxy,37.91,12
Nonhydroxy,85.07,12
Trihydroxy,641.27,12
Trihydroxy,17.96,12
Trihydroxy,483.12,12
Trihydroxy,72.97,12
Trihydroxy,155.02,12
Dihydroxy,356.28,12
Trihydroxy,208.05,12
Trihydroxy,18.05,12
Trihydroxy,232.44,12
Monohydroxy,668.25,12
Dihydroxy,69.97,12
Trihydroxy,63.05,12
Dihydroxy,48.04,12
Trihydroxy,485.1,12
Pentahydroxy,14,12
Tetrahydroxy,466.58,12
Monohydroxy,337.26,12
Dihydroxy,53.14,12
Trihydroxy,17.97,12
Tetrahydroxy,4,12
Trihydroxy,20.81,12
Trihydroxy,833.3,12
Monohydroxy,135.07,12
Tetrahydroxy,407.31,12
Trihydroxy,88.03,12
Tetrahydroxy,39,12
Tetrahydroxy,212.16,12
Tetrahydroxy,167.96,12
Trihydroxy,78.05,12
Trihydroxy,641.32,12
Dihydroxy,250.07,12
Trihydroxy,675.21,12
Monohydroxy,247,12
Trihydroxy,93.03,12
Nonhydroxy,64.07,12
Trihydroxy,391.24,12
Nonhydroxy,134.06,12
Dihydroxy,78.05,12
Dihydroxy,157.08,12
Monohydroxy,21.02,12
Trihydroxy,821.2,12
Trihydroxy,453.35,12
Tetrahydroxy,18.03,12
Dihydroxy,272.23,12
Trihydroxy,436.32,11
Tetrahydroxy,36.18,11
Dihydroxy,137.03,11
Pentahydroxy,56.09,11
Trihydroxy,519.64,11
Trihydroxy,223.63,11
Tetrahydroxy,622.3,11
Tetrahydroxy,89.04,11
Trihydroxy,128.38,11
Dihydroxy,179.06,11
Trihydroxy,203.97,11
Monohydroxy,7.97,11
Pentahydroxy,110.13,11
Trihydroxy,242,11
Monohydroxy,338.26,11
Dihydroxy,606.29,11
Trihydroxy,196.61,11
Dihydroxy,61.05,11
Pentahydroxy,1.97,11
Dihydroxy,248.51,11
Trihydroxy,57.84,11
Trihydroxy,52.9,11
Pentahydroxy,247.04,11
Trihydroxy,12.02,11
Trihydroxy,633.78,11
Trihydroxy,109.01,11
Trihydroxy,81.03,11
Trihydroxy,9.98,11
Trihydroxy,278.04,11
Trihydroxy,51.01,11
Dihydroxy,65.03,11
Trihydroxy,169.55,11
Trihydroxy,93,11
Dihydroxy,185.12,11
Trihydroxy,57.04,11
Dihydroxy,139.15,11
Dihydroxy,588.29,11
Trihydroxy,83.05,11
Dihydroxy,55.05,11
Trihydroxy,97.05,11
Dihydroxy,57.87,11
Trihydroxy,55.9,11
Monohydroxy,36.09,11
Trihydroxy,124.36,11
Trihydroxy,212.5,11
Trihydroxy,113.05,11
Trihydroxy,83.48,11
Monohydroxy,509.31,11
Pentahydroxy,7.99,11
Dihydroxy,162.05,11
Trihydroxy,452.32,11
Trihydroxy,897.97,11
Dihydroxy,19,11
Tetrahydroxy,488.25,11
Dihydroxy,0.96,11
Dihydroxy,117.05,11
Trihydroxy,75.07,11
Monohydroxy,103.99,11
Pentahydroxy,37.01,11
Trihydroxy,8.02,11
Trihydroxy,56.96,11
Trihydroxy,423.3,11
Trihydroxy,269.06,11
Trihydroxy,72.08,11
Tetrahydroxy,19.96,11
Trihydroxy,889.46,11
Tetrahydroxy,203.98,11
Dihydroxy,70.89,11
Monohydroxy,17,11
Pentahydroxy,92.02,11
Dihydroxy,70.95,11
Tetrahydroxy,3,11
Trihydroxy,53.91,11
Dihydroxy,106.94,11
Pentahydroxy,362.24,11
Dihydroxy,71.92,11
Monohydroxy,37.03,11
Dihydroxy,488.36,11
Trihydroxy,53.99,11
Pentahydroxy,89.1,11
Tetrahydroxy,100.09,11
Trihydroxy,72.96,11
Monohydroxy,56.04,11
Trihydroxy,394.61,11
Nonhydroxy,18.12,11
Monohydroxy,267.1,11
Trihydroxy,205.15,11
Trihydroxy,579.26,11
Trihydroxy,372.28,11
Trihydroxy,8.04,11
Trihydroxy,127.07,11
Trihydroxy,80.06,11
Pentahydroxy,140.11,11
Monohydroxy,248.04,11
Trihydroxy,146.07,11
Dihydroxy,102.08,11
Trihydroxy,631.9,11
Trihydroxy,96.93,11
Dihydroxy,312.28,11
Tetrahydroxy,148.94,11
Dihydroxy,20.95,11
Trihydroxy,151,11
Dihydroxy,88.09,11
Dihydroxy,272.24,11
Trihydroxy,54.98,11
Trihydroxy,50.99,11
Tetrahydroxy,88.01,11
Trihydroxy,355.31,11
Dihydroxy,126.12,11
Dihydroxy,162.06,11
Trihydroxy,23.98,11
Trihydroxy,9,11
Trihydroxy,56.97,11
Dihydroxy,215.62,11
Dihydroxy,219.07,11
Trihydroxy,60.06,10
Tetrahydroxy,11.02,10
Dihydroxy,374.27,10
Trihydroxy,34.97,10
Dihydroxy,572.32,10
Trihydroxy,52.96,10
Trihydroxy,572.31,10
Trihydroxy,106.05,10
Pentahydroxy,48.04,10
Trihydroxy,17.04,10
Trihydroxy,203.07,10
Tetrahydroxy,185.13,10
Dihydroxy,19.96,10
Trihydroxy,16.05,10
Trihydroxy,222.01,10
Trihydroxy,160.04,10
Trihydroxy,106.5,10
Trihydroxy,25.96,10
Monohydroxy,236.62,10
Tetrahydroxy,194.04,10
Trihydroxy,73.96,10
Tetrahydroxy,17.8,10
Nonhydroxy,230.03,10
